shared_targets
BRCA2
BRCA1
TP53
PALB2
ATM
MSH6
MSH2
MLH1
APC
CHEK2
CDH1
BRIP1
PMS2
CDKN2A
BARD1
EGFR
PTEN
SMAD4
C11orf65
POLD1
STK11
NF1
KRAS
LOC126862571
RAD50
MET
TSC2
POLE
DICER1
NBN
RB1
AXIN2
PIK3CA
RAD51D
TERT
BRAF
ERBB2
RAD51C
RET
MUTYH
SMARCA4
MEN1
BAP1
KIT
ALK
EPCAM
CDK4
TSC1
MRE11
CTNNB1
BMPR1A
PTCH1
BLM
VHL
PALLD
MSH3
HRAS
SPINK1
FANCC
H19
RAD51L3-RFFL
AKT1
PDGFRA
CDKN1B
MIR21
CCND1
FGFR2
HOXB13
FLCN
FGFR3
FH
CTNNA1
ATR
CFTR
TGFBR2
PVT1
PRSS1
SDHA
PDX1
UCA1
MEG3
NRAS
SDHB
MYC
NOTCH1
MIR125A
GAS5
ESR1
MALAT1
CCAT1
FGFR1
STAT3
TGFB1
HOTAIR
AR
XIST
GNAS
RAD51
CASC2
