InChIKey,Isomeric_SMILES
CDYBOKJASDEORM-HBVDJMOISA-N,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
MYHSVHWQEVDFQT-ILPXZUKPSA-N,C=C[C@@H](CC(=NOS(=O)(=O)O)S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O
UMIKWXDGXDJQJK-UHFFFAOYSA-N,CC(=O)CCC1=CC=C(C=C1)OC(=O)C
ZXXFEBMBNPRRSI-JNHRPPPUSA-N,CC1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C(C2=O)C=C(C=C4O)O
JDOFZOKGCYYUER-ZFORQUDYSA-N,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O
QFPLAAZRZNKRRY-GIICLEHTSA-N,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C
UVDQDNQWGQFIAO-UHFFFAOYSA-N,CN1CCC2=CC3=C(C4=C2C1CC5=C4C=CC(=C5OC)OC)OCO3
MDYOLVRUBBJPFM-UHFFFAOYSA-N,C1=CC=C(C(=O)C=C1)O
PZZRDJXEMZMZFD-IEGSVRCHSA-N,C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
VLSMHEGGTFMBBZ-OOZYFLPDSA-N,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O
FAKRSMQSSFJEIM-RQJHMYQMSA-N,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
YIICVSCAKJMMDJ-UHFFFAOYSA-N,C1CN2CC3=CC=CC=C3N=C2C1O
CAFTUQNGDROXEZ-UHFFFAOYSA-N,CC(=O)OC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)C
ASNFTDCKZKHJSW-REOHCLBHSA-N,C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1
HKQZUYOVMYOFIT-UHFFFAOYSA-N,CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6O)OC)O)O)C
LSGOTAXPWMCUCK-RYUDHWBXSA-N,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=C(C=C3)O
QPHXPNUXTNHJOF-XNFUJFQVSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)O)O)O
ZCYXGVJUZBKJAI-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)CCC(=O)O
GNRIZKKCNOBBMO-UHFFFAOYSA-N,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C
DFMMVLFMMAQXHZ-DOKBYWHISA-N,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=O)/C)/C
VOZHMAYHYHEWBW-NVOOAVKYSA-N,CC(=O)O[C@H]1C[C@@]2([C@@H]3CC[C@@H]4C[C@H](CC[C@@]4([C@H]3CC[C@@]2([C@H]1C5=COC(=O)C=C5)C)C)O)O
HSNZZMHEPUFJNZ-QMTIVRBISA-N,C([C@H]([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O)O
NIKHGUQULKYIGE-OTCXFQBHSA-N,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C(=O)O
YPGCWEMNNLXISK-UHFFFAOYSA-N,CC(C1=CC=CC=C1)C(=O)O
YLTPWCZXKJSORQ-GYCJOSAFSA-N,CC(=CC[C@H](CC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)OC)C(=C)C)C
AIGAZQPHXLWMOJ-UHFFFAOYSA-N,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C
GRGPQNRHXNRJFL-UHFFFAOYSA-N,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C(=C3O)C(C)CO
KACHFMOHOPLTNX-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)C(=O)OC
ICTKKPLVSHVNDV-FCVLBCLDSA-N,CSC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
JDVVGAQPNNXQDW-TVNFTVLESA-N,C1CN2C[C@@H]([C@H]([C@@H]([C@H]2[C@H]1O)O)O)O
IPQKDIRUZHOIOM-IAAKTDFRSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
BIGABVPVCRHEES-BTOOUBFQSA-N,CCC1=N[C@H]2C[C@@]3([C@H]4CC1[C@@H]2CO4)C5=CC=CC=C5N(C3=O)OC
WHRDRHNMTIXZNY-LYWMJAAVSA-N,CC1(CC[C@@H](C23[C@@H]1[C@@H]([C@]4(C56[C@H]2CC[C@H]([C@H]5OC3O4)C(=C)C6=O)O)O)O)C
GEWDNTWNSAZUDX-UHFFFAOYSA-N,CCC=CCC1C(CCC1=O)CC(=O)OC
VCONERRCKOKCHE-UHFFFAOYSA-N,CC(=O)C1=C(C(=C(C=C1)OC)O)O
KVZUCOGWKYOPID-UHFFFAOYSA-N,COC1=CC(=C(C=C1C(=O)O)OC)OC
SDQJTWBNWQABLE-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)NC(=O)N2
OQGRFQCUGLKSAV-JTQLQIEISA-N,C1CC(=O)NC(=O)[C@H]1NC(=O)CC2=CC=CC=C2
GHKWPHRULCFTBB-CZNQJBLBSA-N,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)OC
NEZONWMXZKDMKF-JTQLQIEISA-N,CC(=CC[C@@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
KWCCUYSXAYTNKA-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)O)C(=O)O
WLDWSGZHNBANIO-UHFFFAOYSA-N,CC(=O)C1=C(C=CC(=C1)O)O
UBBRXVRQZJSDAK-FIMFJGSISA-N,CCC/C=C\1/C2=C([C@H]3[C@@H](CC2)C4CCC3\5C(=C4)C(=O)O/C5=C\CCC)C(=O)O1
GWDFJIBHVSYXQL-SYTFOFBDSA-N,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4[C@@H]([C@H]1C)O)OC)OC)OC)OC)OCO3
KRFBMPVGAYGGJE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O
SSSCMFCWHWCCEH-UHFFFAOYSA-N,CN1CC2(C3CC4C5(C2C1C3CO4)C6=CC=CC=C6N(C5=O)OC)C=C
KDXVVZMYSLWJMA-UHFFFAOYSA-N,CC(=CCC1=C2C=CC(=O)OC2=C(C3=C1C=CO3)O)C
WKUHPOMCLBLCOV-MIUGBVLSSA-N,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
KJCDBAVVDILRMP-UHFFFAOYSA-N,CC(=CCC1=C(C(=CC2=C1C(=O)C3=C(C4=C(C=C3O2)OC(CC4)(C)C)O)O)OC)C
YHWNASRGLKJRJJ-KRWDZBQOSA-N,CC(=CCC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C
HJXMNVQARNZTEE-UHFFFAOYSA-N,CCCCC1C2=CC=CC=C2C(=O)O1
HRYLQFBHBWLLLL-UONOGXRCSA-N,CC1=CCCC(=C[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)C
UCAFJBSQKXVPDX-UHFFFAOYSA-N,C1CN2C(=CC3=C(C2=O)C4=C(C=C3)OCO4)C5=CC6=C(C=C51)OCO6
KKSYAZCUYVRKML-QDXNKOLPSA-N,C[C@@]1(C[C@H](C2C1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
JLJAVUZBHSLLJL-GKHNXXNSSA-N,C[C@H]1[C@@H]([C@H](O[C@H]1C2=CC(=C(C=C2)OC)OC)C3=CC(=C(C=C3)OC)OC)C
AYKYOOPFBCOXSL-UHFFFAOYSA-N,C1=CC(=CC=C1CC#N)O
OGFXBIXJCWAUCH-KPHUOKFYSA-N,COC1=C(C=C2[C@@H]([C@H]([C@@H](CC2=C1)CO)CO)C3=CC(=C(C=C3)O)OC)O
ALZAZMCIBRHMFF-UHFFFAOYSA-N,CN1CC2=C(C=CC(=C2OC)OC)C3=C1C4=CC5=C(C=C4C=C3)OCO5
ISQRJFLLIDGZEP-CMWLGVBASA-N,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
VEPUCZUJLKAVNM-UHFFFAOYSA-N,CCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
BPRYUXCVCCNUFE-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C)O)C
YKGCBLWILMDSAV-UHFFFAOYSA-N,CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=CC=C(C=C3)O)C
UWQYBLOHTQWSQD-UHFFFAOYSA-N,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)C
AZJUJOFIHHNCSV-KCQAQPDRSA-N,C[C@]12CCCC([C@@H]1CC=C([C@@H]2C=O)C=O)(C)C
QMGGMESMCJCABO-LHDUFFHYSA-N,C1C[C@H]2CN3[C@H](CC=CC3=O)[C@@H]4[C@H]2[N+](C1)(CCC4)[O-]
HCIBTBXNLVOFER-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3
CRUILBNAQILVHZ-UHFFFAOYSA-N,COC1=C(C(=CC=C1)OC)OC
LPTITAGPBXDDGR-IBEHDNSVSA-N,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C
GARZMRVWLORUSR-VPRICQMDSA-N,C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O
ZGTUSQAQXWSMDW-UHFFFAOYSA-N,C1C2=C(C=CC(=C2)O)NC1=O
VMSLCPKYRPDHLN-OAQYLSRUSA-N,CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O
QAFBDRSXXHEXGB-UHFFFAOYSA-N,C1=CN(C=N1)CC(=O)O
XMVBNLMKPMPWAX-DIKOWXHZSA-N,COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
WMHJCSAICLADIN-WYWSWGBSSA-N,CC1=C(C(C[C@@H](C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)(C)C)C=O
IWPZKOJSYQZABD-UHFFFAOYSA-N,COC1=CC(=CC(=C1)C(=O)O)OC
YRKKJHJIWCRNCW-UHFFFAOYSA-N,CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(O2)C=C(C(=C3CC=C(C)C)OC)O)OC)C
UXDFUVFNIAJEGM-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CCC2=CC(=C(C(=C2)OC)OC)OC)O
QQXLDOJGLXJCSE-UHFFFAOYSA-N,CN1C2CCC1CC(=O)C2
PICOUNAPKDEPCA-TXEJJXNPSA-N,C[C@@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@@H]1C)O)OC)OC)OC)OC)O
IDRSJGHHZXBATQ-ZFORQUDYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O
GLWPLQBQHWYKRK-CYBMUJFWSA-N,CC(C)([C@@H](CC1=C(C=C2C(=C1OC)C=CC(=O)O2)OC)O)O
JUZGXATTXYZBGK-HBVDJMOISA-N,C1=CC2=C(C=C1O)C(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
WDXRGPWQVHZTQJ-NRJJLHBYSA-N,CC=C1C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
IGDFDIZIHMFYGR-UHFFFAOYSA-N,C1=CC2=CC(=CN=C2C(=C1)O)O
SYTYLPHCLSSCOJ-UHFFFAOYSA-N,COC1=C(C=C2C=CC(=O)OC2=C1)O
GVKKJJOMQCNPGB-JTQLQIEISA-N,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
GIKVSFNAEBQLGB-UHFFFAOYSA-N,COC1=CC2=C(C(=C1)OC)C(=O)C=C(O2)C3=CC(=C(C(=C3)OC)OC)OC
KLPNFWKZLQAVTH-LDCXIIFCSA-N,CC(C)([C@@H]1[C@@H](C2=C(O1)C=C3C(=C2)C=CC(=O)O3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
BMLZFLQMBMYVHG-UHFFFAOYSA-N,CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)C
MFMQRDLLSRLUJY-UHFFFAOYSA-N,COC1=CC=C(C=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O
MBIZFBDREVRUHY-UHFFFAOYSA-N,COC1=C(C(=CC=C1)OC)C(=O)O
GPZYYYGYCRFPBU-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O
QVGFPTYGKPLXPK-OOBAEQHESA-N,CC1=CC(=O)C2=C(C3=C(C=C2O1)O[C@@H](C3)C(C)(C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC
KOAPDMKKECXPHX-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)C(=O)CCCCCCCCC2=CC=C(C=C2)O)O
XQWFHGOIUZFQPJ-LXGDFETPSA-N,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
ODHCTXKNWHHXJC-GSVOUGTGSA-N,C1CC(=O)N[C@H]1C(=O)O
ZDWSNKPLZUXBPE-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C
FVYXIJYOAGAUQK-UHFFFAOYSA-N,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
YRAQEMCYCSSHJG-NSHDSACASA-N,CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O
ZDHCZVWCTKTBRY-UHFFFAOYSA-N,C(CCCCCC(=O)O)CCCCCO
QGVLYPPODPLXMB-UBTYZVCOSA-N,C[C@@H]1[C@H]([C@@]2([C@@H](C2(C)C)[C@H]3[C@]1([C@@H]4C=C(C(=O)[C@]4(CC(=C3)CO)O)C)O)O)O
CIAXXTSXVCLEJK-JOEVVYSCSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(C3=C(C(=C2)O)C(=O)C(=C(O3)C4=CC=C(C=C4)O)O)O)O)O)O
WAAPHYJTKSTXSX-CQSZACIVSA-N,CC(=CC[C@H](CC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)O)C(=C)C)C
BVWTXUYLKBHMOX-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)OC)O
VUYNTIDSHCJIKF-UHFFFAOYSA-N,CCOC(=O)CC(=O)C(C)(C)C
NJGBTKGETPDVIK-UHFFFAOYSA-N,CC(=O)CCC1=CC=C(C=C1)O
KYFBXCHUXFKMGQ-IBGZPJMESA-N,CC(=CCC1=C(C=CC2=C1O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C
CUFAXDWQDQQKFF-DEOSSOPVSA-N,CC(=CCC1=C(C=CC(=C1)[C@@H]2CC(=O)C3=C(O2)C(=C(C=C3)O)CC=C(C)C)O)C
GOHMRMDXUXWCDQ-UHFFFAOYSA-N,CC1=CCC23CCC(C2(CC1)OC(=O)C)C(OC3=O)(C)C=CC=C(C)C(=O)O
QIMGUQIHCNDUKU-OJJLXHDHSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC(=C(C=C3)O)O)O)O)O)O)O)O
KHPCPRHQVVSZAH-GUNCLKARSA-N,C1=CC=C(C=C1)/C=C/CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
BJDCWCLMFKKGEE-KWWHLYHASA-N,C[C@@H]1CCC2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)O)C
AEQDJSLRWYMAQI-QGZVFWFLSA-N,COC1=C(C2=C(C[C@@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC
IBMRTYCHDPMBFN-UHFFFAOYSA-N,COC(=O)CCCC(=O)O
VTCDZPUMZAZMSB-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)O
QUOZWMJFTQUXON-UXXRCYHCSA-N,CC(=O)C1=CC(=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC
YZNNBIPIQWYLDM-HSUXUTPPSA-N,C1CN[C@@H]([C@H]([C@@H]1O)O)CO
IWYDHOAUDWTVEP-SSDOTTSWSA-N,C1=CC=C(C=C1)[C@H](C(=O)O)O
FNJSWIPFHMKRAT-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1C(=O)O
HAWSQZCWOQZXHI-UHFFFAOYSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
VUMZHZYKXUYIHM-LISCSQOCSA-N,C[C@]1(C[C@@]23C[C@H]([C@]4([C@@H]([C@H]5[C@@H](C4(C)C)O5)[C@]([C@@H]2CCC1[C@@H]3O)(C)O)O)O)O
UJVHVMNGOZXSOZ-VKHMYHEASA-N,CNC[C@@H](C(=O)O)N
QEANLIISUSNNDX-XBHMPIGQSA-N,C[C@@]12C[C@@H](OC13C[C@@H]([C@H]4[C@H]2C[C@@H]5C[C@H]4C(=O)O5)OC3=O)C6=COC=C6
HJBUYKZTEBZNSH-UZQFATADSA-N,C1C(OC2=C(C1=O)C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O
KPXIBWGPZSPABK-FXAWDEMLSA-N,CC(C)C1=C(C2=C(C=C1)[C@]3(CCC4=C([C@@H]3CC2)COC4=O)C)O
QKPDYSSHOSPOKH-JNHRPPPUSA-N,CC1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C(C2=O)C=CC=C4O
AKDLSISGGARWFP-UHFFFAOYSA-N,CC(C)CCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
OQFHJKZVOALSPV-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)O)CC=C
ATLJNLYIJOCWJE-CWMZOUAVSA-N,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@]35[C@H](O5)C[C@@H]4C6=COC(=O)C=C6)C)O
MUCMKTPAZLSKTL-UHFFFAOYSA-N,CCCCCCCCCC(CC(=O)O)O
RYEFFICCPKWYML-QCGISDTRSA-N,C[C@@]12[C@H]3[C@H]4[C@H]([C@@H]([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
SVINQHQHARVZFF-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)COC)CO
RYAHJFGVOCZDEI-QFFGRMPASA-N,CC(C)C1[C@H]2C3CCC4C3(C([C@@H]1OC2=O)N(C4)C)C
JAYVHSBYKLLDJC-DSNJPTTOSA-N,C1=CC(=CC=C1/C=C/C2=C(C(=CC(=C2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
DKXNBNKWCZZMJT-WUJBLJFYSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O
NZESEVTYUVXOTC-APDQSUQKSA-N,C[C@@H]1C[C@@H]2[C@@H]([C@@H](C(=O)O2)C)[C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C(=C)C
JCDZXDWMCKMXFF-MMLVVLEOSA-N,C[C@@H]1C[C@H]2[C@H]([C@@H]([C@]3([C@H]1CCC3=O)C)OC(=O)C)C(=C)C(=O)O2
HLOCLVMUASBDDP-UHFFFAOYSA-N,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CCC(C)(C)O)O)C
LYUZYPKZQDYMEE-YRCPKEQFSA-N,C/C=C(/C)\C(=O)O[C@H]1[C@H](C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C
MUKYVRVYBBYJSI-UHFFFAOYSA-N,C1C(=O)COC2=C(C=CC(=C2)O)C3=CC(=C(C=C31)O)O
OGBMVWVBHWHRGD-MWTRTKDXSA-N,CC(=CC[C@H](CC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=CC=CC=C3O)C(=C)C)C
SMFFZOQLHYIRDA-UHFFFAOYSA-N,COC1=C(C=C(C=C1)O)OC
ZPSQWDVEMDWXPJ-HPHAYBORSA-N,C/C(=C\C=C\[C@@]1([C@@H]2CC[C@@]3([C@@]2(CCC(=CC3)C(=O)O)OC(=O)C)C(=O)O1)C)/C(=O)O
IQTTZQQJJBEAIM-ZDUSSCGKSA-N,CC(=O)OC(C)(C)[C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3
MWAYRGBWOVHDDZ-UHFFFAOYSA-N,CCOC(=O)C1=CC(=C(C=C1)O)OC
BMCZTYDZHNTKPR-UHFFFAOYSA-N,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)O)OC)C=C1)OC
VLGATXOTCNBWIT-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C3=CC=CC=C3C(=C2C(=O)OC)O)C
ZIIAJIWLQUVGHB-UHFFFAOYSA-N,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC
QFUXQRHAJWXPGP-UHFFFAOYSA-N,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C
OPVAJFQBSDUNQA-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)O)C
SWZMSZQQJRKFBP-UHFFFAOYSA-N,C1CCN2C(C1)C34CC2C=CC3=CC(=O)O4
HMUJXQRRKBLVOO-AWEZNQCLSA-N,COC1=CC=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O
XMJAJFVLHDIEHF-UHFFFAOYSA-N,CC12CCC(C(C1CCC(=C)C2C=CC3=CCOC3=O)(C)CO)O
GENSLUDVKWKQMX-UHFFFAOYSA-N,CC(C)CC1C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O
WSGPLSDARZNMCW-FCVLBCLDSA-N,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
DAXYUDFNWXHGBE-XYEDMTIPSA-N,CC[C@@H]1CN2CC[C@]3([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)C4=CC=CC=C4NC3=O
HXJHQEWSHQXRPH-HPTBWKMGSA-N,C[C@@H]1C[C@@H]2CC3=C(CCC(=O)N3)[C@@]4(C1)[C@@H]2CCCN4C
CPJKKWDCUOOTEW-YJPXFSGGSA-N,COC1=C(C=C(C=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)OC
QQQCWVDPMPFUGF-ZDUSSCGKSA-N,COC1=CC(=CC2=C1C(=O)C[C@H](O2)C3=CC=CC=C3)O
IMKHDCBNRDRUEB-UHFFFAOYSA-N,CC1(CCCC2(C1=CC(=O)O2)C)C
UPUMEBJDZQEUFC-CUYWLFDKSA-N,C1=CC(=C(C=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)/C=C/C3=CC(=CC(=C3)O)O
JVTZFYYHCGSXJV-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C=O)O
XYYAFLHHHZVPRN-GXTWGEPZSA-N,CC1=C2C(=O)O[C@H]([C@@]2(CCC1)C)C3=COC=C3
LGZFJHSOBYVDLA-JTQLQIEISA-N,C[C@@H](CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O
CJIJXIFQYOPWTF-UHFFFAOYSA-N,C1=CC2=C(C=CC(=O)O2)C=C1O
QTAGQHZOLRFCBU-UHFFFAOYSA-N,CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C
CAQZFLPWHBKTTR-WNISUXOKSA-N,C1[C@@H]2[C@H](OC[C@@]2([C@H](O1)C3=CC4=C(C=C3)OCO4)O)C5=CC6=C(C=C5)OCO6
HOIXTKAYCMNVMY-PVOAASPHSA-N,C1=CC(=C(C2=C1C=CC(=O)O2)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
URXZXNYJPAJJOQ-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCCCCC(=O)O
CRSFLLTWRCYNNX-QBNNUVSCSA-N,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
BJRNKVDFDLYUGJ-ZIQFBCGOSA-N,C1=CC(=CC=C1O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
MEHUJCGAYMDLEL-CABCVRRESA-N,C(CCC[C@H]([C@H](CCCCCCO)O)O)CCCC(=O)O
ORFFGRQMMWVHIB-UHFFFAOYSA-N,COC1=C(C2=C(COC2=O)C=C1)OC
SJNCSXMTBXDZQA-SECBINFHSA-N,C[C@@H]1CC2=C(C1=O)C(=C(C(=C2)C)CCO)C
VLCDUOXHFNUCKK-UHFFFAOYSA-N,CNC(=S)NC
ZBKFZIUKXTWQTP-QGZVFWFLSA-N,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC)OC
FINHMKGKINIASC-UHFFFAOYSA-N,CC1=C(N=C(C(=N1)C)C)C
