InChIKey,Isomeric_SMILES
LCAWNFIFMLXZPQ-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O
GYLUFQJZYAJQDI-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=CC(=C(C=C3C2=O)O)O)O
ORXQGKIUCDPEAJ-YRNVUSSQSA-N,CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)/C=C/C2=CC=C(C=C2)O)O)C
BJYHZSNSMVEQEH-SJORKVTESA-N,CC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
SOSLMHZOJATCCP-AEIZVZFYSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O
VXIXUWQIVKSKSA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC(=O)O2)O
PADQINQHPQKXNL-LSDHHAIUSA-N,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
LUJAXSNNYBCFEE-UHFFFAOYSA-N,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O
ZONYXWQDUYMKFB-UHFFFAOYSA-N,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3
ZDOTZEDNGNPOEW-UHFFFAOYSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O
SCZVLDHREVKTSH-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
WEPBGSIAWZTEJR-UHFFFAOYSA-N,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O
BYWLLSQTJBXAPV-UHFFFAOYSA-N,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)OC
OVSQVDMCBVZWGM-QSOFNFLRSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
KOMUHHCFAXYRPO-DGHBBABESA-N,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
YQHMWTPYORBCMF-ZZXKWVIFSA-N,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O
HGUVPEBGCAVWID-KETMJRJWSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O
DUWPGRAKHMEPCM-IZZDOVSWSA-N,CC(=CCC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)O)C
GDNIGMNXEKGFIP-UHFFFAOYSA-O,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2)O)O)O)O
BMLIIPOXVWESJG-LMBCONBSSA-N,COC1=C(C=CC(=C1)[C@H]2[C@@H](C3=C(O2)C(=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O
GSBNFGRTUCCBTK-DAFODLJHSA-N,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C(=C(C=C2)O)O)O)O)O
RGNXWPVNPFAADO-NSIKDUERSA-N,C1=CC(=C(C=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O)O
ATDBDSBKYKMRGZ-ZDUSSCGKSA-N,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)O
HSMPDPBYAYSOBC-UHFFFAOYSA-N,CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC
NZVQLVGOZRELTG-UHFFFAOYSA-N,CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3
RSYUFYQTACJFML-DZGCQCFKSA-N,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O
DAWSYIQAGQMLFS-SFHVURJKSA-N,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=CC=CC=C3)C
ZROGCCBNZBKLEL-MFSALPCASA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
OBKKEZLIABHSGY-DOYQYKRZSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O
SUYJZKRQHBQNCA-LSDHHAIUSA-N,C1=CC=C(C=C1)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O
DJOJDHGQRNZXQQ-AWEZNQCLSA-N,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=C(C=C3)O)O
UWHUTZOCTZJUKC-JKSUJKDBSA-N,C1C2=CC(=C(C=C2[C@H]3[C@@]1(COC4=C3C=CC(=C4)O)O)O)O
KIGVXRGRNLQNNI-UHFFFAOYSA-N,COC1=C(C2=C(C=C1O)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O
RJBAXROZAXAEEM-UHFFFAOYSA-N,COC1=CC(=CC2=C1C(=O)C(=C(O2)C3=CC(=C(C=C3)O)O)O)O
JRFZSUMZAUHNSL-UHFFFAOYSA-N,COC1=CC2=C(C(=C1)OC)C(=O)C=C(O2)C3=CC=CC=C3
NBVTYGIYKCPHQN-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
IMEYGBIXGJLUIS-UHFFFAOYSA-N,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)OC
LADPNODMUXOPRG-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O)O
AIFCFBUSLAEIBR-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O
WTDHMFBJQJSTMH-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC4=CC=C(C=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O
APPXYONGBIXGRO-AIQWNVMPSA-N,CC1=C[C@@H]([C@H]([C@@H](C1)C2=C(C=C(C=C2)O)O)C(=O)C3=C(C=C(C=C3)O)O)C4=C(C=C(C5=C4OC(=C(C5=O)CC=C(C)C)C6=C(C=C(C=C6)O)O)O)O
DKBPTKFKCCNXNH-QXGWMLRCSA-N,CC1=C[C@@H]([C@H]([C@@H](C1)C2=C(C=C(C=C2)O)O)C(=O)C3=C(C(=C(C=C3)O)CC=C(C)C)O)C4=C(C=C(C5=C4OC(=C(C5=O)CC=C(C)C)C6=C(C=C(C=C6)O)O)O)O
XFFOMNJIDRDDLQ-UHFFFAOYSA-N,CC(=CCC1=C(OC2=C(C1=O)C(=CC3=C2C=CC(O3)(C)C)O)C4=C(C=C(C=C4)O)O)C
ZFKKRRMUPBBYRS-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)O
SOEDEYVDCDYMMH-UHFFFAOYSA-N,C1=CC2=C(C=C1O)OC(=C(C2=O)O)C3=CC(=C(C(=C3)O)O)O
GMQFOKBGMKVUQZ-UHFFFAOYSA-N,COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O
JVXZRQGOGOXCEC-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O
DLVLXOYLQKCAME-DGHBBABESA-N,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
FPLMIPQZHHQWHN-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
HRGUSFBJBOKSML-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
FIAAVMJLAGNUKW-VQVVXJKKSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O
MVOUGOXRXQDXDC-RSPRXDBDSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)C2=C3C(=C(C(=C2O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC=C(C=C5)O)O)O)O
XLTFNNCXVBYBSX-UHFFFAOYSA-N,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
NSEWTSAADLNHNH-LSBOWGMISA-N,C1[C@H]([C@H](OC2=C1C(=CC3=C2[C@@H]4[C@H]([C@](O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O
ORDAZKGHSNRHTD-UXHICEINSA-N,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C
VOOFPOMXNLNEOF-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C(=C(C(=C3)O)OC)O
KCUZCRLRQVRBBV-UHFFFAOYSA-N,CC(=CCC1=C(C=CC(=C1O)C2=COC3=CC(=CC(=C3C2=O)O)O)O)C
NSRJSISNDPOJOP-BBRMVZONSA-N,COC1=CC2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O
FPIOBTBNRZPWJW-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O
CNOURESJATUGPN-UDEBZQQRSA-N,COC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=CC=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@]4(C3=O)O)OC)OC)C
VGSYCWGXBYZLLE-QEEQPWONSA-N,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC5=CC6=C(C=C25)OCO6
MQGPSCMMNJKMHQ-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O
LNIQZRIHAMVRJA-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O
JPUKWEQWGBDDQB-DTGCRPNFSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O
SHPPXMGVUDNKLV-KMFFXDMSSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O
LKZDFKLGDGSGEO-UHFFFAOYSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O
NBQPHANHNTWDML-UJKBSQBPSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O)O)O
ADFCQWZHKCXPAJ-GFCCVEGCSA-N,C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O
SWAJPHCXKPCPQZ-UHFFFAOYSA-N,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=CC=C3
URSUMOWUGDXZHU-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC
XRVFNNUXNVWYTI-UHFFFAOYSA-N,COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)O)OC2)O
HUKSJTUUSUGIDC-BDJLRTHQSA-N,C1[C@H]2[C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5
ORJDDOBAOGKRJV-AWEZNQCLSA-N,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=CC=C3)O
ADSYMQORONDIDD-ZJHVPRRPSA-N,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
LKZDFKLGDGSGEO-PABQPRPFSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O
YNWXJFQOCHMPCK-LXGDFETPSA-N,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
GBRZTUJCDFSIHM-KRWDZBQOSA-N,CC(=CCC1=C(C=CC(=C1O)[C@H]2CC3=C(C=C(C(=C3OC)CC=C(C)C)O)OC2)O)C
MQSZRBPYXNEFHF-UHFFFAOYSA-N,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC=C(C=C3)O)O
VOTLUFSYIRHICX-LBPRGKRZSA-N,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC([C@H](C3)O)(C)C)O
SNFFBROYEDWRGB-NHXQFOETSA-N,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
MOJZMWJRUKIQGL-XILRTYJMSA-N,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=C(C(=CC(=C34)O)O)[C@@H]5[C@H]([C@H](OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O
UBSCDKPKWHYZNX-UHFFFAOYSA-N,C1=CC(=CC=C1O)OC2=CC(=O)C3=C(C=C(C=C3O2)O)O
RISXUTCDCPHJFQ-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)C2=COC3=CC4=C(C(=C3C2=O)OC)OCO4
ILEDWLMCKZNDJK-UHFFFAOYSA-N,C1=CC(=O)OC2=CC(=C(C=C21)O)O
PFTAWBLQPZVEMU-DZGCQCFKSA-N,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
IOUVKUPGCMBWBT-QNDFHXLGSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
ARSRJFRKVXALTF-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1C[C@H](NC1)C(=O)O
KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@@H](C(=O)O)N
AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@@H](C(=O)O)N
DCXYFEDJOCDNAF-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)N
KDXKERNSBIXSRK-YFKPBYRVSA-N,C(CCN)C[C@@H](C(=O)O)N
FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@@H](C(=O)O)N
AGBQKNBQESQNJD-UHFFFAOYSA-N,C1CSSC1CCCCC(=O)O
LDCYZAJDBXYCGN-VIFPVBQESA-N,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
ZRALSGWEFCBTJO-UHFFFAOYSA-N,C(=N)(N)N
MTCFGRXMJLQNBG-REOHCLBHSA-N,C([C@@H](C(=O)O)N)O
UKAUYVFTDYCKQA-VKHMYHEASA-N,C(CO)[C@@H](C(=O)O)N
PMMYEEVYMWASQN-QWWZWVQMSA-N,C1[C@H](CN[C@H]1C(=O)O)O
HAPOVYFOVVWLRS-UHFFFAOYSA-N,CCC1(CC(=O)NC1=O)C
KJCVRFUGPWSIIH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=C2O
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=O)O2
SULYEHHGGXARJS-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1)O)O
HEBKCHPVOIAQTA-IMJSIDKUSA-N,C([C@@H](C([C@H](CO)O)O)O)O
HJJPJSXJAXAIPN-UHFFFAOYSA-N,CN1CCC=C(C1)C(=O)OC
MTXSIJUGVMTTMU-UHFFFAOYSA-N,C1CCNC(C1)C2=CN=CC=C2
QEFRNWWLZKMPFJ-UHFFFAOYSA-N,CS(=O)CCC(C(=O)O)N
AIFRHYZBTHREPW-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3
FSBIGDSBMBYOPN-VKHMYHEASA-N,C(CON=C(N)N)[C@@H](C(=O)O)N
SXZYCXMUPBBULW-SKNVOMKLSA-N,C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O
RODXRVNMMDRFIK-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
QURCVMIEKCOAJU-HWKANZROSA-N,COC1=C(C=C(C=C1)/C=C/C(=O)O)O
YGPSJZOEDVAXAB-QMMMGPOBSA-N,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N
OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O
YWWVWXASSLXJHU-WAYWQWQTSA-N,CCCC/C=C\CCCCCCCC(=O)O
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
FFFHZYDWPBMWHY-UHFFFAOYSA-N,C(CS)C(C(=O)O)N
TZBJGXHYKVUXJN-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
WUADCCWRTIWANL-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
PFTAWBLQPZVEMU-UKRRQHHQSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
YKPUWZUDDOIDPM-SOFGYWHQSA-N,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC
XUSYGBPHQBWGAD-PJSUUKDQSA-N,CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O
XQYZDYMELSJDRZ-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
DLRVVLDZNNYCBX-ABXHMFFYSA-N,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O
DDUHZTYCFQRHIY-RBHXEPJQSA-N,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
IAKHMKGGTNLKSZ-UHFFFAOYSA-N,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
KYQZWONCHDNPDP-QNDFHXLGSA-N,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
