shared_targets
SCN1A
TP53
BRCA1
CACNA1A
SPTAN1
KCNQ2
ATM
SCN8A
SCN2A
PALB2
BRCA2
ALG13
MECP2
GLDC
STXBP1
CDKL5
WWOX
KCNT1
CHEK2
PTEN
GRIN2B
LOC102724058
ARX
BRIP1
TBC1D24
PIK3CA
POLG
RYR1
PCDH19
SLC2A1
IL6
STAT3
DOCK7
KRAS
CTNNB1
AKT1
CACNA2D2
TNF
HRAS
SYNJ1
