targetChemblId,uniport_accession,gene_name
CHEMBL2789,P37059,HSD17B2
CHEMBL2820,P03951,F11
CHEMBL2830,P15381,CACNA1C
CHEMBL284,P27487,DPP4
CHEMBL285,O70536,Soat1
CHEMBL286,P00797,REN
CHEMBL287,Q99720,SIGMAR1
CHEMBL288,Q08499,PDE4D
CHEMBL2882,P47747,HRH2
CHEMBL2954,P25774,CTSS
CHEMBL2955,O95136,S1PR2
CHEMBL2959,Q08881,ITK
CHEMBL2966,P56658,ADA
CHEMBL298,P32239,CCKBR
CHEMBL299,P17252,PRKCA
CHEMBL3004,P33527,ABCC1
CHEMBL3012,Q13946,PDE7A
CHEMBL302,P30543,Adora2a
CHEMBL3023,Q9NRA0,SPHK2
CHEMBL3024,P53350,PLK1
CHEMBL3038482,P0A0K8,gyrB
CHEMBL3038482,P20831,gyrA
CHEMBL3048,P29476,Nos1
CHEMBL3072,P15207,Ar
CHEMBL3085613,P0C559,gyrB
CHEMBL309,P10980,Chrm2
CHEMBL3105,P09874,PARP1
CHEMBL3108640,Q9H8M2,BRD9
CHEMBL311,Q00960,Grin2b
CHEMBL313,P31652,Slc6a4
CHEMBL3130,O00329,PIK3CD
CHEMBL3132741,P55201,BRPF1
CHEMBL3137262,Q9UKL0,RCOR1
CHEMBL3142,P78527,PRKDC
CHEMBL315,P15823,Adra1b
CHEMBL3157,P30411,BDKRB2
CHEMBL319,P43140,Adra1a
CHEMBL3199,P37136,Ache
CHEMBL3202,P48147,PREP
CHEMBL321,P14780,MMP9
CHEMBL3229,P97612,Faah
CHEMBL3242,O43570,CA12
CHEMBL3247,P51639,Hmgcr
CHEMBL325,Q13547,HDAC1
CHEMBL326,P23944,Adra1d
CHEMBL3286,P00749,PLAU
CHEMBL332,P03956,MMP1
CHEMBL333,P08253,MMP2
CHEMBL335,P18031,PTPN1
CHEMBL3356,P05177,CYP1A2
CHEMBL3368,P06536,Nr3c1
CHEMBL3371,P50406,HTR6
CHEMBL338,P23977,Slc6a3
CHEMBL3385,P27361,MAPK3
CHEMBL3403,Q9JKC1,Bche
CHEMBL3437,Q16853,AOC3
CHEMBL3459,P28564,Htr1b
CHEMBL3471,Q7ZJM1,pol
CHEMBL3473,P51677,CCR3
CHEMBL3474,P14555,PLA2G2A
CHEMBL3486,Q54A96,dhod
CHEMBL3501,Q63931,CCKAR
CHEMBL3535,O76083,PDE9A
CHEMBL3571,P20272,Cnr1
CHEMBL3589,P55263,ADK
CHEMBL3594,Q16790,CA9
CHEMBL3616354,O15382,BCAT2
CHEMBL3623,P15559,NQO1
CHEMBL3629,P68400,CSNK2A1
CHEMBL3649,P80457,XDH
CHEMBL3650,P11362,FGFR1
CHEMBL3706,P78536,ADAM17
CHEMBL3710,P43115,PTGER3
CHEMBL3712907,P0DMS9,TMIGD3
CHEMBL3717,P08581, MET
CHEMBL3753,P19490,Gria1
CHEMBL3771,P16753,UL80
CHEMBL3776,Q14790,CASP8
CHEMBL3788,O00444,PLK4
CHEMBL3797,Q13315,ATM
CHEMBL3798,Q16602,CALCRL
CHEMBL3807,P17706,PTPN2
CHEMBL3815,Q02769,Fdft1
CHEMBL3816,P47712,PLA2G4A
CHEMBL3880,P07900,HSP90AA1
CHEMBL3883328,P19784,CSNK2A2
CHEMBL3883328,P67870,CSNK2B
CHEMBL3884,P31639,SLC5A2
CHEMBL3891,P07384,CAPN1
CHEMBL3892,Q99500,S1PR3
CHEMBL3910,P50172,Hsd11b1
CHEMBL3922,P50579,METAP2
CHEMBL3933,P70263,Ptgdr
CHEMBL3952,P41144,OPRK1
CHEMBL3959,P16083,NQO2
CHEMBL3969,Q9Y2D0,CA5B
CHEMBL3975,P09467,FBP1
CHEMBL3979,Q03181,PPARD
CHEMBL3991,P08709,F7
CHEMBL4015,P41597,CCR2
CHEMBL4018,P49146,NPY2R
CHEMBL402,P04035,HMGCR
CHEMBL4029,P25024,CXCR1
CHEMBL4040,P28482,MAPK1
CHEMBL4051,P13569,CFTR
CHEMBL4062,P35750,CAPN1
CHEMBL4072,P07858,CTSB
CHEMBL4074,P12822,ACE
CHEMBL4078,O42275,ache
CHEMBL4086,P43114,Ptger4
CHEMBL4123,P30989,NTSR1
CHEMBL4132,P27732,Cacna1d
CHEMBL4191,Q99685,MGLL
CHEMBL4198,P98170,XIAP
CHEMBL4234,P37058,HSD17B3
CHEMBL4244,Q99538,LGMN
CHEMBL4247,Q9UM73,ALK
CHEMBL4282,P31749,AKT1
CHEMBL4330,Q9NS75,CYSLTR2
CHEMBL4336,P30557,Ptger3
CHEMBL4342,O15496,PLA2G10
CHEMBL4349,Q02083,NAAA
CHEMBL4358,P12530,ALOX15
CHEMBL4361,Q07820,MCL1
CHEMBL4372,P15917,lef
CHEMBL4408,O95263,PDE8B
CHEMBL4414,P46925,PMII
CHEMBL4422,O14842,FFAR1
CHEMBL4430,P11715,Cyp17a1
CHEMBL4439,P36897,TGFBR1
CHEMBL4462,Q8IXJ6,SIRT2
CHEMBL4465,O75908,SOAT2
CHEMBL4523,Q9P1W9,PIM2
CHEMBL4530,P00488,F13A1
CHEMBL4550,P20292,ALOX5AP
CHEMBL4552,P16257,Tspo
CHEMBL4556,P28572,Slc6a9
CHEMBL4608,P33032,MC5R
CHEMBL4618,P09960,LTA4H
CHEMBL4644,P41968,MC3R
CHEMBL4653,P14740,Dpp4
CHEMBL4657,Q6V1X1,DPP8
CHEMBL4662,P28074,PSMB5
CHEMBL4685,P14902,IDO1
CHEMBL4687,P39898,PMI
CHEMBL4699,O60725,ICMT
CHEMBL4718,Q9BUB5,MKNK1
CHEMBL4768,P23795,ACHE
CHEMBL4777,P25929,NPY1R
CHEMBL4780,P04058,ache
CHEMBL4793,Q86TI2,DPP9
CHEMBL4794,Q8NER1,TRPV1
CHEMBL4801,P29466,CASP1
CHEMBL4816,Q9Y243,AKT3
CHEMBL4822,P56817,BACE1
CHEMBL4860,P10415,BCL2
CHEMBL5017,O70528,HTR4
CHEMBL5023,Q00987,MDM2
CHEMBL5028,O14672,ADAM10
CHEMBL5062,O19045,F10
CHEMBL5077,Q9N1N9,BCHE
CHEMBL5103,Q969S8,HDAC10
CHEMBL5113,O43613,HCRTR1
CHEMBL5137,Q14416,GRM2
CHEMBL5141,O43174,CYP26A1
CHEMBL5145,P15056,BRAF
CHEMBL5163,Q9NY46,SCN3A
CHEMBL5185,Q9ZLT0,murI
CHEMBL5192,P0DPI0,botA
CHEMBL5282,P11509,CYP2A6
CHEMBL5373,P47936,Cnr2
CHEMBL5375,Q8JXU8,NS5B
CHEMBL5406,Q86X55,CARM1
CHEMBL5443,O00311,CDC7
CHEMBL5457,O30463,folA
CHEMBL5493,O15552,FFAR2
CHEMBL5498,Q8VH26,GPM3
CHEMBL5568,P08922,ROS1
CHEMBL5645,Q2NNR5,CYSLTR1
CHEMBL5658,O14684,PTGES
CHEMBL5689,P17752,TPH1
CHEMBL5747,Q92793,CREBBP
CHEMBL5763,P81908,BCHE
CHEMBL5815,P51686,CCR9
CHEMBL5888,Q99558,MAP3K14
CHEMBL5936,Q9NYK1,TLR7
CHEMBL5973,Q99N23,Ca15
CHEMBL5979,P05186,ALPL
CHEMBL5983,O60218,AKR1B10
CHEMBL6031,Q9H9B1,EHMT1
CHEMBL6120,Q96S37,SLC22A12
CHEMBL6136,O60341,KDM1A
