gene_name,compound_name,source
CCR9,Kumatakenin,CHEMBL
ROS1,Kumatakenin,CHEMBL
BCAT2,Kumatakenin,CHEMBL
CYP1A2,Kumatakenin,CHEMBL
NQO2,Kumatakenin,CHEMBL
PPIA,Kumatakenin,CHEMBL
MAP2,Diphyllin,CHEMBL
PTGES,Diphyllin,CHEMBL
MKNK1,Diphyllin,CHEMBL
HSP90AA1,Diphyllin,CHEMBL
KDM1A,Diphyllin,CHEMBL
ALPL,Diphyllin,CHEMBL
KMO,Diphyllin,CHEMBL
FLT1,Diphyllin,CHEMBL
PIK3CD,Diphyllin,CHEMBL
ROS1,Diphyllin,CHEMBL
BCAT2,Diphyllin,CHEMBL
AOC3,Diphyllin,CHEMBL
MAOA,Kaempferol,CHEMBL
CA7,Kaempferol,CHEMBL
MKNK1,Kaempferol,CHEMBL
ALPL,Kaempferol,CHEMBL
KMO,Kaempferol,CHEMBL
CCR9,Kaempferol,CHEMBL
HSD17B2,Kaempferol,CHEMBL
ROS1,Kaempferol,CHEMBL
CYP1A2,Kaempferol,CHEMBL
NQO2,Kaempferol,CHEMBL
PPIA,Kaempferol,CHEMBL
AOC3,Kaempferol,CHEMBL
