gene_name,ingredient_name
PSMC1,L-VALINE
PSMA6,L-VALINE
SLC7A5,L-VALINE
PSMD11,L-VALINE
BLMH,L-VALINE
ALDH2,L-VALINE
ARG2,L-VALINE
PSMB1,L-VALINE
HPN,L-VALINE
POLR1B,L-VALINE
APLP2,L-VALINE
ELANE,L-VALINE
POLR1A,L-VALINE
CAPG,L-VALINE
LXN,L-VALINE
GZMM,L-VALINE
PSMD3,L-VALINE
KLKB1,L-VALINE
ALDH8A1,L-VALINE
C1RL,L-VALINE
SLC6A15,L-VALINE
PRSS36,L-VALINE
BCKDHA,L-VALINE
PSMB6,L-VALINE
RPS11,L-VALINE
PSMA5,L-VALINE
RPS27A,L-VALINE
MRPS5,L-VALINE
CORIN,L-VALINE
GZMA,L-VALINE
GGCT,L-VALINE
HABP2,L-VALINE
SLC43A1,L-VALINE
ST14,L-VALINE
PRSS53,L-VALINE
VILL,L-VALINE
TMPRSS11D,L-VALINE
TMPRSS15,L-VALINE
APP,L-VALINE
CELA3A,L-VALINE
PSMB4,L-VALINE
ALDH4A1,L-VALINE
ACE,L-VALINE
PSMC2,L-VALINE
ALDH16A1,L-VALINE
PSME3,L-VALINE
CELA1,L-VALINE
PRSS33,L-VALINE
MRPS18C,L-VALINE
PSMD6,L-VALINE
MASP1,L-VALINE
PRSS12,L-VALINE
RPS23,L-VALINE
ERAP1,L-VALINE
SCIN,L-VALINE
PRSS37,L-VALINE
ALDH1A1,L-VALINE
SEC61A2,L-VALINE
PSMC3,L-VALINE
C2,L-VALINE
TMPRSS5,L-VALINE
PDIA3,L-VALINE
SLC43A2,L-VALINE
KLK1,L-VALINE
RPS9,L-VALINE
CTRB2,L-VALINE
UBB,L-VALINE
SLC6A19,L-VALINE
LRTOMT,L-VALINE
PRSS27,L-VALINE
TMPRSS11E,L-VALINE
F2,L-VALINE
PRSS1,L-VALINE
MRPS12,L-VALINE
PLG,L-VALINE
KLK6,L-VALINE
PSMD1,L-VALINE
PSMD2,L-VALINE
PSMC5,L-VALINE
RPS14,L-VALINE
PSMA8,L-VALINE
KLK10,L-VALINE
POLR2B,L-VALINE
KLK2,L-VALINE
KLK3,L-VALINE
ALDH5A1,L-VALINE
EDNRA,L-VALINE
MRPS11,L-VALINE
BCKDHB,L-VALINE
RPS15A,L-VALINE
PRSS8,L-VALINE
NPEPPS,L-VALINE
SLC7A8,L-VALINE
CALR,L-VALINE
LPA,L-VALINE
BCAT2,L-VALINE
SLC6A18,L-VALINE
CNDP2,L-VALINE
KLK4,L-VALINE
PRSS50,L-VALINE
OVCH1,L-VALINE
IMP3,L-VALINE
PRSS57,L-VALINE
PSMF1,L-VALINE
C1S,L-VALINE
TMPRSS11B,L-VALINE
CFD,L-VALINE
ALDH1A3,L-VALINE
PRSS55,L-VALINE
TMPRSS11A,L-VALINE
TMPRSS6,L-VALINE
EDN3,L-VALINE
KLK5,L-VALINE
CELA3B,L-VALINE
SEC61G,L-VALINE
RPS2,L-VALINE
NBR1,L-VALINE
TPSAB1,L-VALINE
TTN,L-VALINE
UBC,L-VALINE
ALDH3A2,L-VALINE
ENOSF1,L-VALINE
RPSA,L-VALINE
ALDH9A1,L-VALINE
ITGB1BP1,L-VALINE
HP,L-VALINE
SLC25A46,L-VALINE
PSMD12,L-VALINE
TMPRSS11F,L-VALINE
PSMB10,L-VALINE
CELA2A,L-VALINE
HLA-G,L-VALINE
PRSS3,L-VALINE
CTRB1,L-VALINE
COMT,L-VALINE
PSMB5,L-VALINE
PRSS38,L-VALINE
ARG1,L-VALINE
PSMD4,L-VALINE
CTSS,L-VALINE
DBT,L-VALINE
PSMA7,L-VALINE
VEGFA,L-VALINE
MRPS18A,L-VALINE
POLR3A,L-VALINE
PLAU,L-VALINE
MRPS16,L-VALINE
MRPS15,L-VALINE
PSMB2,L-VALINE
GSN,L-VALINE
PROZ,L-VALINE
F10,L-VALINE
F7,L-VALINE
IARS1,L-VALINE
VARS1,L-VALINE
AGMAT,L-VALINE
CELA2B,L-VALINE
CTRC,L-VALINE
TPP2,L-VALINE
HLA-C,L-VALINE
HLA-A,L-VALINE
ALDH1B1,L-VALINE
SLC3A2,L-VALINE
PSME1,L-VALINE
HGFAC,L-VALINE
KLK8,L-VALINE
KLK7,L-VALINE
ALDH1L1,L-VALINE
CFI,L-VALINE
FAM135B,L-VALINE
RPS29,L-VALINE
TMPRSS12,L-VALINE
TMPRSS2,L-VALINE
MRPS6,L-VALINE
MASP2,L-VALINE
PSME4,L-VALINE
F11,L-VALINE
PSMB11,L-VALINE
PSMD14,L-VALINE
ALDH7A1,L-VALINE
IFFO2,L-VALINE
UBA52,L-VALINE
RPS18,L-VALINE
PSMD13,L-VALINE
HLA-B,L-VALINE
ERAP2,L-VALINE
PRSS48,L-VALINE
PSMC6,L-VALINE
PVR,L-VALINE
POLR2F,L-VALINE
FAM135A,L-VALINE
TMPRSS7,L-VALINE
NLE1,L-VALINE
MST1,L-VALINE
BDNF,L-VALINE
PSMA1,L-VALINE
TMPRSS4,L-VALINE
CFB,L-VALINE
PCCB,L-VALINE
MRPS14,L-VALINE
RPS20,L-VALINE
RPS3,L-VALINE
TMPRSS13,L-VALINE
RPS13,L-VALINE
PSMD9,L-VALINE
VARS2,L-VALINE
HPR,L-VALINE
BCAT1,L-VALINE
PRSS58,L-VALINE
CTRL,L-VALINE
RPS15,L-VALINE
KLK15,L-VALINE
KLK13,L-VALINE
KLK11,L-VALINE
PRSS21,Isoleucine
OTC,Isoleucine
PSMA4,Isoleucine
KLK14,Isoleucine
PSMC4,Isoleucine
PRSS22,Isoleucine
DLD,Isoleucine
PSMD5,Isoleucine
TPSD1,Isoleucine
PSMD8,Isoleucine
ACR,Isoleucine
CTSG,Isoleucine
GZMH,Isoleucine
GZMB,Isoleucine
PSMA3,Isoleucine
PSME2,Isoleucine
PSMD10,Isoleucine
F9,Isoleucine
POLR2C,Isoleucine
PRSS54,Isoleucine
PSMD7,Isoleucine
PLAT,Isoleucine
DCTN6,Isoleucine
KCTD9,Isoleucine
HGF,Isoleucine
AIMP2,Isoleucine
SEC61B,Isoleucine
N/A,Isoleucine
RPS6KB1,Isoleucine
SPI1,Isoleucine
POLR3B,Isoleucine
GZMK,Isoleucine
LNPEP,Isoleucine
RARS1,Isoleucine
AZU1,Isoleucine
PROC,Isoleucine
PRTN3,Isoleucine
TPSG1,Isoleucine
TTR,Isoleucine
SEC61A1,Isoleucine
VIL1,Isoleucine
KLK12,Isoleucine
CMA1,Isoleucine
F12,Isoleucine
PSMB7,Isoleucine
PSMC1,Isoleucine
PSMA6,Isoleucine
SLC7A5,Isoleucine
PSMD11,Isoleucine
BLMH,Isoleucine
ARG2,Isoleucine
MARS1,Isoleucine
PSMB1,Isoleucine
HPN,Isoleucine
POLR1B,Isoleucine
APLP2,Isoleucine
ELANE,Isoleucine
POLR1A,Isoleucine
LCAT,Isoleucine
DARS1,Isoleucine
GZMM,Isoleucine
PSMD3,Isoleucine
KLKB1,Isoleucine
LARS2,Isoleucine
C1RL,Isoleucine
SLC6A15,Isoleucine
PRSS36,Isoleucine
BCKDHA,Isoleucine
PSMB6,Isoleucine
PSMA5,Isoleucine
RPS27A,Isoleucine
CORIN,Isoleucine
GZMA,Isoleucine
GGCT,Isoleucine
HABP2,Isoleucine
SLC43A1,Isoleucine
ST14,Isoleucine
PRSS53,Isoleucine
TMPRSS11D,Isoleucine
TMPRSS15,Isoleucine
APP,Isoleucine
CELA3A,Isoleucine
PSMB4,Isoleucine
PSMC2,Isoleucine
PSME3,Isoleucine
CELA1,Isoleucine
PRSS33,Isoleucine
